family_id,display_name,reference_profile,batch,public_beta_status,public_gate_scope
apache_ignite,Apache Ignite,2.17.0,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
cassandra,Cassandra,5.0.8,nosql,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
clickhouse,ClickHouse,25.12.10.7-stable,analytic,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
cockroachdb,CockroachDB,26.1.3,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
dolt,Dolt,1.86.6,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
duckdb,DuckDB,1.5.2,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
firebird,Firebird,5.0.4,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
foundationdb,FoundationDB,7.3.77,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
immudb,immudb,1.11.0,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
influxdb,InfluxDB,3.9.0,analytic,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
mariadb,MariaDB,12.2.2,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
milvus,Milvus,2.6.5,analytic,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
mongodb,MongoDB,8.2.6,nosql,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
mysql,MySQL,9.7.0,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
neo4j,Neo4j,2026.04.0,nosql,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
opensearch,OpenSearch,3.6.0,analytic,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
opensearch_sql_ppl,OpenSearch SQL/PPL,3.6.0-sql-ppl,analytic,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
postgresql,PostgreSQL,18.3,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
redis,Redis,8.6.2,nosql,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
sqlite,SQLite,3.53.0,relational,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
tidb,TiDB,8.5.6,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
tikv,TiKV,8.5.6,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
vitess,Vitess,23.0.3,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
xtdb,XTDB,2.1.0,nosql,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
yugabytedb,YugabyteDB,2025.2.2.2,distributed,beta_gate_passed_mapped_or_explicit_refusal,parser_identity_surface_vectors_replay_proof_dialect_isolation
