normalized_command,authority,compile_policy,license_policy,fail_closed_behavior
cluster.topology.inspect,cluster_catalog_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.topology.define_region,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.topology.define_shard_profile,placement_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.topology.publish_manifest,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.topology.validate_schema_version,cluster_catalog_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.topology.inspect_filespace_shards,cluster_catalog_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.node.admit_member,cluster_membership_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.node.remove_member,cluster_membership_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.node.drain_member,cluster_membership_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.node.set_role,cluster_role_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.node.inspect_health,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
