compatibility,compatibility_surface,normalized_command,sblr_route,refusal_policy,source_search_key,compatibility_isolation,downstream_phase,cross_node_distributed_query_marker
apache_ignite,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,apache_ignite.admin.baseline,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.baseline,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,apache_ignite.admin.set_state,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.set_state,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,apache_ignite.admin.activate,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.activate,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,apache_ignite.admin.deactivate,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.deactivate,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,apache_ignite.admin.snapshot,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.snapshot,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,builtin_function_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,clickhouse.distributed.cluster_clause,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.distributed.cluster_clause,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query
clickhouse,builtin_function_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kBuiltinSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,catalog_overlay_surface:clusters,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kCatalogSurfaces:clusters,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,diagnostic_surface:cluster_stub,cluster.metrics.snapshot,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:cluster_stub,own_compatibility_surface_only,FPR-P2,not_cluster_query
