compatibility,compatibility_surface,normalized_command,parser_route,sblr_route,refusal_policy
apache_ignite,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script;intake_id=FSC-INTAKE-COMPATIBILITY-0001;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call
apache_ignite,apache_ignite.admin.baseline,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.baseline;intake_id=FSC-INTAKE-COMPATIBILITY-0002;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
apache_ignite,apache_ignite.admin.set_state,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.set_state;intake_id=FSC-INTAKE-COMPATIBILITY-0003;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
apache_ignite,apache_ignite.admin.activate,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.activate;intake_id=FSC-INTAKE-COMPATIBILITY-0004;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
apache_ignite,apache_ignite.admin.deactivate,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.deactivate;intake_id=FSC-INTAKE-COMPATIBILITY-0005;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
apache_ignite,apache_ignite.admin.snapshot,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.snapshot;intake_id=FSC-INTAKE-COMPATIBILITY-0006;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
apache_ignite,builtin_function_surface:cluster,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0007;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
clickhouse,clickhouse.distributed.cluster_clause,cluster.query.plan_distributed,source_search_key=project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.distributed.cluster_clause;intake_id=FSC-INTAKE-COMPATIBILITY-0008;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
clickhouse,builtin_function_surface:cluster,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kBuiltinSurfaces:cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0009;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
clickhouse,catalog_overlay_surface:clusters,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kCatalogSurfaces:clusters;intake_id=FSC-INTAKE-COMPATIBILITY-0010;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
clickhouse,diagnostic_surface:cluster_stub,cluster.metrics.snapshot,source_search_key=project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:cluster_stub;intake_id=FSC-INTAKE-COMPATIBILITY-0011;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
