compatibility,external_authority_surface,provider_boundary,admission_policy,fail_closed_behavior,test_destination,source_search_key
clickhouse,clickhouse.external_io.insert_function,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.external_io.insert_function
clickhouse,clickhouse.external_io.file_function,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.external_io.file_function
clickhouse,clickhouse.external_io.url_function,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.external_io.url_function
clickhouse,clickhouse.external_io.s3_function,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.external_io.s3_function
clickhouse,clickhouse.external_io.hdfs_function,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.external_io.hdfs_function
clickhouse,clickhouse.connector.dictionary.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.connector.dictionary.create
clickhouse,clickhouse.connector.dictionary.drop,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.connector.dictionary.drop
clickhouse,builtin_function_surface:external,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kBuiltinSurfaces:external
clickhouse,diagnostic_surface:external_io,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:external_io
clickhouse,diagnostic_surface:connector,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:connector
cockroachdb,cockroachdb.bulk_io.import,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.bulk_io.import
cockroachdb,cockroachdb.bulk_io.copy_program,copy_file_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.bulk_io.copy_program
cockroachdb,cockroachdb.bulk_io.copy_to_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.bulk_io.copy_to_file
cockroachdb,cockroachdb.bulk_io.copy_from_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.bulk_io.copy_from_file
cockroachdb,cockroachdb.connector.fdw.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.connector.fdw.create
cockroachdb,cockroachdb.connector.server.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.connector.server.create
cockroachdb,cockroachdb.connector.user_mapping.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.connector.user_mapping.create
cockroachdb,cockroachdb.connector.foreign_table.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.connector.foreign_table.create
cockroachdb,diagnostic_surface:connector,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:connector
duckdb,duckdb.bulk_io.file_from,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.bulk_io.file_from
duckdb,duckdb.bulk_io.file_to,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.bulk_io.file_to
