declared_row_id,declared_row_ordinal,parser_package,declared_surface,classification,source_search_key,current_route,final_route,final_sblr,runtime_disposition,runtime_evidence_policy,refusal_policy,parser_authority_policy,compatibility_authority_policy,mga_authority_policy,source_guard,joined_remap_id,proof_gate,status,notes
FPR-P3-DECLARED-00001,1,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.control_script,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,kPolicyRefusal;match=CONTROL.SH;mapping=apache_ignite.policy.cluster.control_script;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,exact_pre_provider_refusal_no_provider_route,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,exact_pre_provider_refusal_no_provider_call,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00001,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00002,2,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.baseline,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.baseline,kPolicyRefusal;match=BASELINE;mapping=apache_ignite.policy.cluster.baseline;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,provider_boundary_route_required,sblr.cluster.control.v3:cluster.job.start_controlled,admitted_normalized_cluster_sblr_provider_boundary,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00002,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00003,3,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.set_state,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.set_state,kPolicyRefusal;match=SET STATE;mapping=apache_ignite.policy.cluster.set_state;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,provider_boundary_route_required,sblr.cluster.control.v3:cluster.job.start_controlled,admitted_normalized_cluster_sblr_provider_boundary,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00003,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00004,4,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.activate,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.activate,kPolicyRefusal;match=ACTIVATE;mapping=apache_ignite.policy.cluster.activate;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,provider_boundary_route_required,sblr.cluster.control.v3:cluster.job.start_controlled,admitted_normalized_cluster_sblr_provider_boundary,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00004,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00005,5,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.deactivate,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.deactivate,kPolicyRefusal;match=DEACTIVATE;mapping=apache_ignite.policy.cluster.deactivate;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,provider_boundary_route_required,sblr.cluster.control.v3:cluster.job.start_controlled,admitted_normalized_cluster_sblr_provider_boundary,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00005,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00006,6,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.snapshot,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.snapshot,kPolicyRefusal;match=SNAPSHOT;mapping=apache_ignite.policy.cluster.snapshot;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,provider_boundary_route_required,sblr.cluster.control.v3:cluster.job.start_controlled,admitted_normalized_cluster_sblr_provider_boundary,SBLRExecutionEnvelope.v3_with_cluster_provider_boundary_metadata,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P2-CLUSTER-00006,parser_remap_cluster_route_gate,p3_cluster_declared_route_joined_to_fpr_p2,cluster declared row joins FPR-P2;provider-routed rows emit normalized cluster SBLR and exact refusals remain pre-provider
FPR-P3-DECLARED-00007,7,project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.create,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.create,kParserSupportUdr;match=CREATE CACHE;mapping=apache_ignite.udr.cache.create;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_ROUTE;engine_api=ParserSupportCacheRoute;diagnostic=APACHE_IGNITE.EMULATION.CACHE_ROUTE,mapped_to_engine_owned_sblr_execution_proof,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_create.5b1450b6b6,admitted_sblr_or_parser_support_route,SBLRExecutionEnvelope.v3_with_CST_AST_BoundAST_evidence,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P1-NONCLUSTER-00001,parser_remap_noncluster_function_gate,p3_noncluster_declared_route_joined_to_fpr_p1,non-cluster declared row joins FPR-P1 SBLR proof;parser emits SBLR only and engine owns execution/finality
FPR-P3-DECLARED-00008,8,project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.drop,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.drop,kParserSupportUdr;match=DROP CACHE;mapping=apache_ignite.udr.cache.drop;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_ROUTE;engine_api=ParserSupportCacheRoute;diagnostic=APACHE_IGNITE.EMULATION.CACHE_ROUTE,mapped_to_engine_owned_sblr_execution_proof,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_drop.bf35848f72,admitted_sblr_or_parser_support_route,SBLRExecutionEnvelope.v3_with_CST_AST_BoundAST_evidence,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P1-NONCLUSTER-00002,parser_remap_noncluster_function_gate,p3_noncluster_declared_route_joined_to_fpr_p1,non-cluster declared row joins FPR-P1 SBLR proof;parser emits SBLR only and engine owns execution/finality
FPR-P3-DECLARED-00009,9,project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.get,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.get,kAdmittedSblr;match=CACHE GET;mapping=apache_ignite.cache.get;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_GET;engine_api=EngineCacheGet;diagnostic=none,mapped_to_parser_remap_sblr_execution_proof,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_get.09b8feba70,admitted_sblr_or_parser_support_route,SBLRExecutionEnvelope.v3_with_CST_AST_BoundAST_evidence,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P1-NONCLUSTER-00003,parser_remap_noncluster_function_gate,p3_noncluster_declared_route_joined_to_fpr_p1,non-cluster declared row joins FPR-P1 SBLR proof;parser emits SBLR only and engine owns execution/finality
FPR-P3-DECLARED-00010,10,project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.put,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.put,kAdmittedSblr;match=CACHE PUT;mapping=apache_ignite.cache.put;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_PUT;engine_api=EngineCachePut;diagnostic=none,mapped_to_parser_remap_sblr_execution_proof,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_put.ded854b92b,admitted_sblr_or_parser_support_route,SBLRExecutionEnvelope.v3_with_CST_AST_BoundAST_evidence,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,declared_source_anchor_verified,FPR-P1-NONCLUSTER-00004,parser_remap_noncluster_function_gate,p3_noncluster_declared_route_joined_to_fpr_p1,non-cluster declared row joins FPR-P1 SBLR proof;parser emits SBLR only and engine owns execution/finality
