guard_id,guard_type,compatibility,parser_package,parser_support_udr,manifest_profile_class,probe_owner,positive_probe,expected_positive_token,foreign_probe_policy,known_family_overlap,source_boundary,expected_runtime_behavior,test_destination,proof_kind,status,notes
FPR-P5-MANIFEST-001,manifest_standalone,firebird,project/src/parsers/compatibility/firebird,project/src/udr/sbu_firebird_parser_support,compatibility_emulation,firebird,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-002,manifest_standalone,postgresql,project/src/parsers/compatibility/postgresql,project/src/udr/sbu_postgresql_parser_support,compatibility_emulation,postgresql,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-003,manifest_standalone,mysql,project/src/parsers/compatibility/mysql,project/src/udr/sbu_mysql_parser_support,compatibility_emulation,mysql,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-004,manifest_standalone,sqlite,project/src/parsers/compatibility/sqlite,project/src/udr/sbu_sqlite_parser_support,compatibility_emulation,sqlite,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-005,manifest_standalone,mariadb,project/src/parsers/compatibility/mariadb,project/src/udr/sbu_mariadb_parser_support,compatibility_emulation,mariadb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-006,manifest_standalone,duckdb,project/src/parsers/compatibility/duckdb,project/src/udr/sbu_duckdb_parser_support,compatibility_emulation,duckdb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-007,manifest_standalone,clickhouse,project/src/parsers/compatibility/clickhouse,project/src/udr/sbu_clickhouse_parser_support,compatibility_emulation,clickhouse,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-008,manifest_standalone,tidb,project/src/parsers/compatibility/tidb,project/src/udr/sbu_tidb_parser_support,compatibility_emulation,tidb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-009,manifest_standalone,vitess,project/src/parsers/compatibility/vitess,project/src/udr/sbu_vitess_parser_support,compatibility_emulation,vitess,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-010,manifest_standalone,cockroachdb,project/src/parsers/compatibility/cockroachdb,project/src/udr/sbu_cockroachdb_parser_support,compatibility_emulation,cockroachdb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-011,manifest_standalone,yugabytedb,project/src/parsers/compatibility/yugabytedb,project/src/udr/sbu_yugabytedb_parser_support,compatibility_emulation,yugabytedb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-012,manifest_standalone,cassandra,project/src/parsers/compatibility/cassandra,project/src/udr/sbu_cassandra_parser_support,compatibility_emulation,cassandra,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-013,manifest_standalone,mongodb,project/src/parsers/compatibility/mongodb,project/src/udr/sbu_mongodb_parser_support,compatibility_emulation,mongodb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-014,manifest_standalone,redis,project/src/parsers/compatibility/redis,project/src/udr/sbu_redis_parser_support,compatibility_emulation,redis,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-015,manifest_standalone,opensearch_sql_ppl,project/src/parsers/compatibility/opensearch_sql_ppl,project/src/udr/sbu_opensearch_sql_ppl_parser_support,compatibility_emulation,opensearch_sql_ppl,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-016,manifest_standalone,opensearch,project/src/parsers/compatibility/opensearch,project/src/udr/sbu_opensearch_parser_support,compatibility_emulation,opensearch,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-017,manifest_standalone,neo4j,project/src/parsers/compatibility/neo4j,project/src/udr/sbu_neo4j_parser_support,compatibility_emulation,neo4j,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-018,manifest_standalone,influxdb,project/src/parsers/compatibility/influxdb,project/src/udr/sbu_influxdb_parser_support,compatibility_emulation,influxdb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-019,manifest_standalone,milvus,project/src/parsers/compatibility/milvus,project/src/udr/sbu_milvus_parser_support,compatibility_emulation,milvus,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-020,manifest_standalone,dolt,project/src/parsers/compatibility/dolt,project/src/udr/sbu_dolt_parser_support,compatibility_emulation,dolt,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-021,manifest_standalone,apache_ignite,project/src/parsers/compatibility/apache_ignite,project/src/udr/sbu_apache_ignite_parser_support,compatibility_emulation,apache_ignite,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-022,manifest_standalone,tikv,project/src/parsers/compatibility/tikv,project/src/udr/sbu_tikv_parser_support,compatibility_emulation,tikv,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
FPR-P5-MANIFEST-023,manifest_standalone,foundationdb,project/src/parsers/compatibility/foundationdb,project/src/udr/sbu_foundationdb_parser_support,compatibility_emulation,foundationdb,not_applicable,not_applicable,manifest_parser_cross_dialect_dependency_false,none,manifest_declares_no_cross_dialect_dependency,manifest profile and package paths are concrete and standalone,project/tests/compatibility_sql_parser_first_tranche/parser_dialect_isolation_guard.py,manifest_policy,p5_dialect_isolation_verified,Compatibility parser package is standalone and does not require another compatibility parser.
