refusal_id,declared_row_id,declared_row_ordinal,compatibility,parser_package,refusal_surface,classification,source_search_key,anchor_family,old_reason,implementation_route,final_reason,message_vector,diagnostic_code,runtime_disposition,final_sblr,provider_policy,parser_authority_policy,compatibility_authority_policy,mga_authority_policy,sample_input_or_source_anchor,test_destination,proof_kind,status,notes
FPR-P4-REFUSAL-00001,FPR-P3-DECLARED-00001,1,apache_ignite,project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.control_script,NORMALIZE_CLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,kPatterns,kPolicyRefusal;match=CONTROL.SH;mapping=apache_ignite.policy.cluster.control_script;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,kPolicyRefusal;match=CONTROL.SH;mapping=apache_ignite.policy.cluster.control_script;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,cluster_control_shell_surface_reserved_for_normalized_cluster_sblr_exact_pre_provider_refusal,APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,exact_pre_provider_refusal,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,no_cluster_provider_call_before_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,CONTROL.SH --baseline,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,runtime_parser_refusal,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00002,FPR-P3-DECLARED-00061,61,apache_ignite,project/src/parsers/compatibility/apache_ignite,catalog_overlay_surface:baseline,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:baseline,kCatalogSurfaces,fail_closed;surface=IGNITE_BASELINE,fail_closed;surface=IGNITE_BASELINE,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,IGNITE_BASELINE,IGNITE_BASELINE,exact_fail_closed_refusal,sblr.refusal.apache_ignite.catalog_overlay_surface_baseline.5c87ed7a63,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:baseline,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00003,FPR-P3-DECLARED-00062,62,apache_ignite,project/src/parsers/compatibility/apache_ignite,catalog_overlay_surface:snapshots,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:snapshots,kCatalogSurfaces,fail_closed;surface=IGNITE_SNAPSHOTS,fail_closed;surface=IGNITE_SNAPSHOTS,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,IGNITE_SNAPSHOTS,IGNITE_SNAPSHOTS,exact_fail_closed_refusal,sblr.refusal.apache_ignite.catalog_overlay_surface_snapshots.44ab599c29,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:snapshots,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00004,FPR-P3-DECLARED-00064,64,apache_ignite,project/src/parsers/compatibility/apache_ignite,diagnostic_surface:policy,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:policy,kDiagnosticSurfaces,fail_closed;surface=APACHE_IGNITE.AUTHORITY.*,fail_closed;surface=APACHE_IGNITE.AUTHORITY.*,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,APACHE_IGNITE.AUTHORITY.*,APACHE_IGNITE.AUTHORITY.*,exact_fail_closed_refusal,sblr.refusal.apache_ignite.diagnostic_surface_policy.b3774e8ccd,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:policy,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00005,FPR-P3-DECLARED-00073,73,apache_ignite,project/src/parsers/compatibility/apache_ignite,source_marker:unsupported,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#marker:unsupported,marker,source_marker_requires_review,source_marker_requires_review,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,APACHE_IGNITE.PARSE.UNSUPPORTED_SURFACE,APACHE_IGNITE.PARSE.UNSUPPORTED_SURFACE,exact_fail_closed_refusal,sblr.refusal.apache_ignite.source_marker_unsupported.a391795708,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#marker:unsupported,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00006,FPR-P3-DECLARED-00074,74,cassandra,project/src/parsers/compatibility/cassandra,cassandra.admin.nodetool,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.admin.nodetool,kPatterns,kUnsupportedRefusal;match=NODETOOL;mapping=cassandra.policy.unsupported.nodetool;sblr=none;engine_api=none;diagnostic=CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,kUnsupportedRefusal;match=NODETOOL;mapping=cassandra.policy.unsupported.nodetool;sblr=none;engine_api=none;diagnostic=CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,exact_fail_closed_refusal,sblr.refusal.cassandra.cassandra_admin_nodetool.7f5c245ac3,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,NODETOOL,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,runtime_parser_refusal,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00007,FPR-P3-DECLARED-00075,75,cassandra,project/src/parsers/compatibility/cassandra,cassandra.admin.repair,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.admin.repair,kPatterns,kUnsupportedRefusal;match=REPAIR;mapping=cassandra.policy.unsupported.repair;sblr=none;engine_api=none;diagnostic=CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,kUnsupportedRefusal;match=REPAIR;mapping=cassandra.policy.unsupported.repair;sblr=none;engine_api=none;diagnostic=CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,CASSANDRA.AUTHORITY.UNSUPPORTED_DENIED,exact_fail_closed_refusal,sblr.refusal.cassandra.cassandra_admin_repair.7c41b7de4c,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,REPAIR,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,runtime_parser_refusal,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00008,FPR-P3-DECLARED-00136,136,cassandra,project/src/parsers/compatibility/cassandra,diagnostic_surface:policy,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kDiagnosticSurfaces:policy,kDiagnosticSurfaces,fail_closed;surface=CASSANDRA.AUTHORITY.*,fail_closed;surface=CASSANDRA.AUTHORITY.*,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,CASSANDRA.AUTHORITY.*,CASSANDRA.AUTHORITY.*,exact_fail_closed_refusal,sblr.refusal.cassandra.diagnostic_surface_policy.3a1ef5f586,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kDiagnosticSurfaces:policy,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00009,FPR-P3-DECLARED-00145,145,cassandra,project/src/parsers/compatibility/cassandra,source_marker:unsupported,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#marker:unsupported,marker,source_marker_requires_review,source_marker_requires_review,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,CASSANDRA.PARSE.UNSUPPORTED_SURFACE,CASSANDRA.PARSE.UNSUPPORTED_SURFACE,exact_fail_closed_refusal,sblr.refusal.cassandra.source_marker_unsupported.a4d5e83822,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#marker:unsupported,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,source_anchor_message_vector,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
FPR-P4-REFUSAL-00010,FPR-P3-DECLARED-00146,146,clickhouse,project/src/parsers/compatibility/clickhouse,clickhouse.system.command,ARCHITECTURE_REFUSAL,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.system.command,kPatterns,kUnsupportedRefusal;match=SYSTEM;mapping=clickhouse.policy.unsupported.system;sblr=none;engine_api=none;diagnostic=CLICKHOUSE.AUTHORITY.UNSUPPORTED_DENIED,kUnsupportedRefusal;match=SYSTEM;mapping=clickhouse.policy.unsupported.system;sblr=none;engine_api=none;diagnostic=CLICKHOUSE.AUTHORITY.UNSUPPORTED_DENIED,compatibility_surface_conflicts_with_parser_or_single_node_engine_authority_exact_fail_closed,CLICKHOUSE.AUTHORITY.UNSUPPORTED_DENIED,CLICKHOUSE.AUTHORITY.UNSUPPORTED_DENIED,exact_fail_closed_refusal,sblr.refusal.clickhouse.clickhouse_system_command.41bc8dd2d1,no_provider_or_compatibility_execution_for_exact_refusal,parser_may_emit_SBLRExecutionEnvelope_v3_only;parser_execution_storage_transaction_finality_authority_forbidden,compatibility_sql_not_executed;compatibility_storage_authority_false;compatibility_transaction_finality_authority_forbidden,engine_owned_MGA_transaction_finality_only;parser_compatibility_provider_finality_forbidden,SYSTEM,project/tests/compatibility_sql_parser_first_tranche/parser_refusal_reduction_gate.py,runtime_parser_refusal,p4_refusal_reduction_verified,row_preserves_compatibility_compatible_refusal_or_external_authority_fail_closed_boundary_with_runtime_or_source_anchor_proof
