gate_id,phase,status,requirement,evidence
CASSANDRA-GATE-001,manifest,accepted,cassandra compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-002,manifest,accepted,cassandra compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-003,manifest,accepted,cassandra compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-004,manifest,accepted,cassandra compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-005,manifest,accepted,cassandra compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-006,manifest,accepted,cassandra compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-007,manifest,accepted,cassandra compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-008,manifest,accepted,cassandra compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-009,manifest,accepted,cassandra compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-010,manifest,accepted,cassandra compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-011,manifest,accepted,cassandra compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-012,manifest,accepted,cassandra compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-019,manifest,accepted,cassandra compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-020,manifest,accepted,cassandra compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-021,manifest,accepted,cassandra compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-022,manifest,accepted,cassandra compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-023,manifest,accepted,cassandra compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-024,manifest,accepted,cassandra compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-025,manifest,accepted,cassandra compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-026,manifest,accepted,cassandra compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-027,manifest,accepted,cassandra compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-028,manifest,accepted,cassandra compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-029,manifest,accepted,cassandra compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
CASSANDRA-GATE-MGMT-ABI,manifest,accepted,cassandra management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
CASSANDRA-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,cassandra live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
