gate_id,phase,status,requirement,evidence
FDB-GATE-001,manifest,accepted,foundationdb compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-002,manifest,accepted,foundationdb compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-003,manifest,accepted,foundationdb compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-004,manifest,accepted,foundationdb compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-005,manifest,accepted,foundationdb compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-006,manifest,accepted,foundationdb compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-007,manifest,accepted,foundationdb compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-008,manifest,accepted,foundationdb compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-009,manifest,accepted,foundationdb compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-010,manifest,accepted,foundationdb compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-011,manifest,accepted,foundationdb compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-012,manifest,accepted,foundationdb compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-019,manifest,accepted,foundationdb compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-020,manifest,accepted,foundationdb compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-021,manifest,accepted,foundationdb compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-022,manifest,accepted,foundationdb compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-023,manifest,accepted,foundationdb compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-024,manifest,accepted,foundationdb compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-025,manifest,accepted,foundationdb compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-026,manifest,accepted,foundationdb compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-027,manifest,accepted,foundationdb compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-028,manifest,accepted,foundationdb compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-029,manifest,accepted,foundationdb compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
FDB-GATE-MGMT-ABI,manifest,accepted,foundationdb management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
FOUNDATIONDB-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,foundationdb live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
