gate_id,phase,status,requirement,evidence
MARIADB-GATE-001,manifest,accepted,mariadb compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-002,manifest,accepted,mariadb compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-003,manifest,accepted,mariadb compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-004,manifest,accepted,mariadb compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-005,manifest,accepted,mariadb compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-006,manifest,accepted,mariadb compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-007,manifest,accepted,mariadb compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-008,manifest,accepted,mariadb compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-009,manifest,accepted,mariadb compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-010,manifest,accepted,mariadb compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-011,manifest,accepted,mariadb compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-012,manifest,accepted,mariadb compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-019,manifest,accepted,mariadb compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-020,manifest,accepted,mariadb compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-021,manifest,accepted,mariadb compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-022,manifest,accepted,mariadb compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-023,manifest,accepted,mariadb compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-024,manifest,accepted,mariadb compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-025,manifest,accepted,mariadb compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-026,manifest,accepted,mariadb compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-027,manifest,accepted,mariadb compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-028,manifest,accepted,mariadb compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-029,manifest,accepted,mariadb compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
MARIADB-GATE-MGMT-ABI,manifest,accepted,mariadb management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
MARIADB-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,mariadb live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
