gate_id,phase,status,requirement,evidence
MONGO-GATE-001,manifest,accepted,mongodb compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-002,manifest,accepted,mongodb compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-003,manifest,accepted,mongodb compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-004,manifest,accepted,mongodb compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-005,manifest,accepted,mongodb compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-006,manifest,accepted,mongodb compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-007,manifest,accepted,mongodb compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-008,manifest,accepted,mongodb compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-009,manifest,accepted,mongodb compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-010,manifest,accepted,mongodb compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-011,manifest,accepted,mongodb compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-012,manifest,accepted,mongodb compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-019,manifest,accepted,mongodb compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-020,manifest,accepted,mongodb compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-021,manifest,accepted,mongodb compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-022,manifest,accepted,mongodb compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-023,manifest,accepted,mongodb compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-024,manifest,accepted,mongodb compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-025,manifest,accepted,mongodb compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-026,manifest,accepted,mongodb compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-027,manifest,accepted,mongodb compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-028,manifest,accepted,mongodb compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-029,manifest,accepted,mongodb compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
MONGO-GATE-MGMT-ABI,manifest,accepted,mongodb management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
MONGODB-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,mongodb live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
