gate_id,phase,status,requirement,evidence
NEO4J-GATE-001,manifest,accepted,neo4j compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-002,manifest,accepted,neo4j compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-003,manifest,accepted,neo4j compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-004,manifest,accepted,neo4j compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-005,manifest,accepted,neo4j compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-006,manifest,accepted,neo4j compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-007,manifest,accepted,neo4j compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-008,manifest,accepted,neo4j compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-009,manifest,accepted,neo4j compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-010,manifest,accepted,neo4j compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-011,manifest,accepted,neo4j compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-012,manifest,accepted,neo4j compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-019,manifest,accepted,neo4j compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-020,manifest,accepted,neo4j compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-021,manifest,accepted,neo4j compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-022,manifest,accepted,neo4j compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-023,manifest,accepted,neo4j compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-024,manifest,accepted,neo4j compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-025,manifest,accepted,neo4j compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-026,manifest,accepted,neo4j compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-027,manifest,accepted,neo4j compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-028,manifest,accepted,neo4j compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-029,manifest,accepted,neo4j compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
NEO4J-GATE-MGMT-ABI,manifest,accepted,neo4j management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
NEO4J-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,neo4j live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
