gate_id,phase,status,requirement,evidence
TIDB-GATE-001,manifest,accepted,tidb compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-002,manifest,accepted,tidb compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-003,manifest,accepted,tidb compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-004,manifest,accepted,tidb compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-005,manifest,accepted,tidb compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-006,manifest,accepted,tidb compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-007,manifest,accepted,tidb compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-008,manifest,accepted,tidb compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-009,manifest,accepted,tidb compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-010,manifest,accepted,tidb compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-011,manifest,accepted,tidb compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-012,manifest,accepted,tidb compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-019,manifest,accepted,tidb compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-020,manifest,accepted,tidb compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-021,manifest,accepted,tidb compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-022,manifest,accepted,tidb compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-023,manifest,accepted,tidb compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-024,manifest,accepted,tidb compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-025,manifest,accepted,tidb compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-026,manifest,accepted,tidb compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-027,manifest,accepted,tidb compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-028,manifest,accepted,tidb compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-029,manifest,accepted,tidb compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
TIDB-GATE-MGMT-ABI,manifest,accepted,tidb management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
TIDB-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,tidb live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
