gate_id,phase,status,requirement,evidence
TIKV-GATE-001,manifest,accepted,tikv compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-002,manifest,accepted,tikv compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-003,manifest,accepted,tikv compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-004,manifest,accepted,tikv compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-005,manifest,accepted,tikv compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-006,manifest,accepted,tikv compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-007,manifest,accepted,tikv compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-008,manifest,accepted,tikv compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-009,manifest,accepted,tikv compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-010,manifest,accepted,tikv compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-011,manifest,accepted,tikv compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-012,manifest,accepted,tikv compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-019,manifest,accepted,tikv compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-020,manifest,accepted,tikv compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-021,manifest,accepted,tikv compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-022,manifest,accepted,tikv compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-023,manifest,accepted,tikv compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-024,manifest,accepted,tikv compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-025,manifest,accepted,tikv compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-026,manifest,accepted,tikv compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-027,manifest,accepted,tikv compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-028,manifest,accepted,tikv compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-029,manifest,accepted,tikv compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
TIKV-GATE-MGMT-ABI,manifest,accepted,tikv management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
TIKV-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,tikv live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
