gate_id,phase,status,requirement,evidence
FIREBIRDFULL-GATE-001,manifest,accepted,firebird-full compatibility parser manifest gate 001,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-002,manifest,accepted,firebird-full compatibility parser manifest gate 002,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-003,manifest,accepted,firebird-full compatibility parser manifest gate 003,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-004,manifest,accepted,firebird-full compatibility parser manifest gate 004,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-005,manifest,accepted,firebird-full compatibility parser manifest gate 005,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-006,manifest,accepted,firebird-full compatibility parser manifest gate 006,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-007,manifest,accepted,firebird-full compatibility parser manifest gate 007,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-008,manifest,accepted,firebird-full compatibility parser manifest gate 008,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-009,manifest,accepted,firebird-full compatibility parser manifest gate 009,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-010,manifest,accepted,firebird-full compatibility parser manifest gate 010,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-011,manifest,accepted,firebird-full compatibility parser manifest gate 011,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-012,manifest,accepted,firebird-full compatibility parser manifest gate 012,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-019,manifest,accepted,firebird-full compatibility parser manifest gate 019,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-020,manifest,accepted,firebird-full compatibility parser manifest gate 020,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-021,manifest,accepted,firebird-full compatibility parser manifest gate 021,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-022,manifest,accepted,firebird-full compatibility parser manifest gate 022,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-023,manifest,accepted,firebird-full compatibility parser manifest gate 023,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-024,manifest,accepted,firebird-full compatibility parser manifest gate 024,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-025,manifest,accepted,firebird-full compatibility parser manifest gate 025,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-026,manifest,accepted,firebird-full compatibility parser manifest gate 026,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-027,manifest,accepted,firebird-full compatibility parser manifest gate 027,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-028,manifest,accepted,firebird-full compatibility parser manifest gate 028,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-029,manifest,accepted,firebird-full compatibility parser manifest gate 029,project/tests/reference_regression manifests and parser source contracts
FIREBIRDFULL-GATE-MGMT-ABI,manifest,accepted,firebird-full management ABI manifest is present and checked by CTest,project/tests/reference_regression management_package_abi manifest
FIREBIRDFULL-GATE-LIVE-MIGRATION-METHOD,manifest,accepted,firebird-full live migration method gate is represented for manifest validation,project/tests/reference_regression enterprise_completion manifest
