reference_id,display_name,parser_package,local_source_root,performance_suite_paths_relative,performance_suite_paths_absolute,performance_tool_paths_relative,performance_tool_paths_absolute,official_external_performance_url,required_baseline_modes,required_metrics,live_migration_overlay_requirement,source_status,output_destination,status
apache_ignite,Apache Ignite,compatibility-parser-apache_ignite,project/tests/reference_regression/apache_ignite,project/tests/reference_regression/apache_ignite,project/tests/reference_regression/apache_ignite,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/apache_ignite/performance,performance_manifest_generated_pending_baseline_execution
cassandra,Cassandra,compatibility-parser-cassandra,project/tests/reference_regression/cassandra,project/tests/reference_regression/cassandra,project/tests/reference_regression/cassandra,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/cassandra/performance,performance_manifest_generated_pending_baseline_execution
clickhouse,ClickHouse,compatibility-parser-clickhouse,project/tests/reference_regression/clickhouse,project/tests/reference_regression/clickhouse,project/tests/reference_regression/clickhouse,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/clickhouse/performance,performance_manifest_generated_pending_baseline_execution
cockroachdb,CockroachDB,compatibility-parser-cockroachdb,project/tests/reference_regression/cockroachdb,project/tests/reference_regression/cockroachdb,project/tests/reference_regression/cockroachdb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/cockroachdb/performance,performance_manifest_generated_pending_baseline_execution
dolt,Dolt,compatibility-parser-dolt,project/tests/reference_regression/dolt,project/tests/reference_regression/dolt,project/tests/reference_regression/dolt,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/dolt/performance,performance_manifest_generated_pending_baseline_execution
duckdb,DuckDB,compatibility-parser-duckdb,project/tests/reference_regression/duckdb,project/tests/reference_regression/duckdb,project/tests/reference_regression/duckdb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/duckdb/performance,performance_manifest_generated_pending_baseline_execution
firebird,FirebirdSQL,compatibility-parser-firebird,project/tests/reference_regression/firebird,project/tests/reference_regression/firebird,project/tests/reference_regression/firebird,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/firebird/performance,performance_manifest_generated_pending_baseline_execution
foundationdb,FoundationDB,compatibility-parser-foundationdb,project/tests/reference_regression/foundationdb,project/tests/reference_regression/foundationdb,project/tests/reference_regression/foundationdb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/foundationdb/performance,performance_manifest_generated_pending_baseline_execution
immudb,immudb,compatibility-parser-immudb,project/tests/reference_regression/immudb,project/tests/reference_regression/immudb,project/tests/reference_regression/immudb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/immudb/performance,performance_manifest_generated_pending_baseline_execution
influxdb,InfluxDB,compatibility-parser-influxdb,project/tests/reference_regression/influxdb,project/tests/reference_regression/influxdb,project/tests/reference_regression/influxdb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/influxdb/performance,performance_manifest_generated_pending_baseline_execution
mariadb,MariaDB,compatibility-parser-mariadb,project/tests/reference_regression/mariadb,project/tests/reference_regression/mariadb,project/tests/reference_regression/mariadb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/mariadb/performance,performance_manifest_generated_pending_baseline_execution
milvus,Milvus,compatibility-parser-milvus,project/tests/reference_regression/milvus,project/tests/reference_regression/milvus,project/tests/reference_regression/milvus,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/milvus/performance,performance_manifest_generated_pending_baseline_execution
mongodb,MongoDB,compatibility-parser-mongodb,project/tests/reference_regression/mongodb,project/tests/reference_regression/mongodb,project/tests/reference_regression/mongodb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/mongodb/performance,performance_manifest_generated_pending_baseline_execution
mysql,MySQL,compatibility-parser-mysql,project/tests/reference_regression/mysql,project/tests/reference_regression/mysql,project/tests/reference_regression/mysql,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/mysql/performance,performance_manifest_generated_pending_baseline_execution
