reference_id,display_name,parser_package,release_version_or_external,local_release_packet,local_source_root,local_source_archive,official_source_or_download_url,official_external_suite_url,regression_suite_paths_relative,regression_suite_paths_absolute,reference_test_tool_paths_relative,reference_test_tool_paths_absolute,source_status,extraction_destination,status
apache_ignite,Apache Ignite,compatibility-parser-apache_ignite,public_regression_manifest,project/tests/reference_regression/apache_ignite,project/tests/reference_regression/apache_ignite,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/apache_ignite,project/tests/reference_regression/apache_ignite,,,verified_present,project/tests/reference_regression/apache_ignite,source_locator_verified_manifest_generated
cassandra,Cassandra,compatibility-parser-cassandra,public_regression_manifest,project/tests/reference_regression/cassandra,project/tests/reference_regression/cassandra,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/cassandra,project/tests/reference_regression/cassandra,,,verified_present,project/tests/reference_regression/cassandra,source_locator_verified_manifest_generated
clickhouse,ClickHouse,compatibility-parser-clickhouse,public_regression_manifest,project/tests/reference_regression/clickhouse,project/tests/reference_regression/clickhouse,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/clickhouse,project/tests/reference_regression/clickhouse,,,verified_present,project/tests/reference_regression/clickhouse,source_locator_verified_manifest_generated
cockroachdb,CockroachDB,compatibility-parser-cockroachdb,public_regression_manifest,project/tests/reference_regression/cockroachdb,project/tests/reference_regression/cockroachdb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/cockroachdb,project/tests/reference_regression/cockroachdb,,,verified_present,project/tests/reference_regression/cockroachdb,source_locator_verified_manifest_generated
dolt,Dolt,compatibility-parser-dolt,public_regression_manifest,project/tests/reference_regression/dolt,project/tests/reference_regression/dolt,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/dolt,project/tests/reference_regression/dolt,,,verified_present,project/tests/reference_regression/dolt,source_locator_verified_manifest_generated
duckdb,DuckDB,compatibility-parser-duckdb,public_regression_manifest,project/tests/reference_regression/duckdb,project/tests/reference_regression/duckdb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/duckdb,project/tests/reference_regression/duckdb,,,verified_present,project/tests/reference_regression/duckdb,source_locator_verified_manifest_generated
firebird,FirebirdSQL,compatibility-parser-firebird,public_regression_manifest,project/tests/reference_regression/firebird,project/tests/reference_regression/firebird,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/firebird,project/tests/reference_regression/firebird,,,verified_present,project/tests/reference_regression/firebird,source_locator_verified_manifest_generated
foundationdb,FoundationDB,compatibility-parser-foundationdb,public_regression_manifest,project/tests/reference_regression/foundationdb,project/tests/reference_regression/foundationdb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/foundationdb,project/tests/reference_regression/foundationdb,,,verified_present,project/tests/reference_regression/foundationdb,source_locator_verified_manifest_generated
immudb,immudb,compatibility-parser-immudb,public_regression_manifest,project/tests/reference_regression/immudb,project/tests/reference_regression/immudb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/immudb,project/tests/reference_regression/immudb,,,verified_present,project/tests/reference_regression/immudb,source_locator_verified_manifest_generated
influxdb,InfluxDB,compatibility-parser-influxdb,public_regression_manifest,project/tests/reference_regression/influxdb,project/tests/reference_regression/influxdb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/influxdb,project/tests/reference_regression/influxdb,,,verified_present,project/tests/reference_regression/influxdb,source_locator_verified_manifest_generated
mariadb,MariaDB,compatibility-parser-mariadb,public_regression_manifest,project/tests/reference_regression/mariadb,project/tests/reference_regression/mariadb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/mariadb,project/tests/reference_regression/mariadb,,,verified_present,project/tests/reference_regression/mariadb,source_locator_verified_manifest_generated
milvus,Milvus,compatibility-parser-milvus,public_regression_manifest,project/tests/reference_regression/milvus,project/tests/reference_regression/milvus,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/milvus,project/tests/reference_regression/milvus,,,verified_present,project/tests/reference_regression/milvus,source_locator_verified_manifest_generated
mongodb,MongoDB,compatibility-parser-mongodb,public_regression_manifest,project/tests/reference_regression/mongodb,project/tests/reference_regression/mongodb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/mongodb,project/tests/reference_regression/mongodb,,,verified_present,project/tests/reference_regression/mongodb,source_locator_verified_manifest_generated
mysql,MySQL,compatibility-parser-mysql,public_regression_manifest,project/tests/reference_regression/mysql,project/tests/reference_regression/mysql,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/mysql,project/tests/reference_regression/mysql,,,verified_present,project/tests/reference_regression/mysql,source_locator_verified_manifest_generated
neo4j,Neo4j,compatibility-parser-neo4j,public_regression_manifest,project/tests/reference_regression/neo4j,project/tests/reference_regression/neo4j,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/neo4j,project/tests/reference_regression/neo4j,,,verified_present,project/tests/reference_regression/neo4j,source_locator_verified_manifest_generated
opensearch_rest,OpenSearch REST DSL,compatibility-parser-opensearch_rest,public_regression_manifest,project/tests/reference_regression/opensearch/rest_dsl,project/tests/reference_regression/opensearch/rest_dsl,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/opensearch/rest_dsl,project/tests/reference_regression/opensearch/rest_dsl,,,verified_present,project/tests/reference_regression/opensearch/rest_dsl,source_locator_verified_manifest_generated
opensearch_sql_ppl,OpenSearch SQL/PPL,compatibility-parser-opensearch_sql_ppl,public_regression_manifest,project/tests/reference_regression/opensearch/sql_ppl,project/tests/reference_regression/opensearch/sql_ppl,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/opensearch/sql_ppl,project/tests/reference_regression/opensearch/sql_ppl,,,verified_present,project/tests/reference_regression/opensearch/sql_ppl,source_locator_verified_manifest_generated
postgresql,PostgreSQL,compatibility-parser-postgresql,public_regression_manifest,project/tests/reference_regression/postgresql,project/tests/reference_regression/postgresql,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/postgresql,project/tests/reference_regression/postgresql,,,verified_present,project/tests/reference_regression/postgresql,source_locator_verified_manifest_generated
redis,Redis,compatibility-parser-redis,public_regression_manifest,project/tests/reference_regression/redis,project/tests/reference_regression/redis,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/redis,project/tests/reference_regression/redis,,,verified_present,project/tests/reference_regression/redis,source_locator_verified_manifest_generated
sqlite,SQLite,compatibility-parser-sqlite,public_regression_manifest,project/tests/reference_regression/sqlite,project/tests/reference_regression/sqlite,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/sqlite,project/tests/reference_regression/sqlite,,,verified_present,project/tests/reference_regression/sqlite,source_locator_verified_manifest_generated
tidb,TiDB,compatibility-parser-tidb,public_regression_manifest,project/tests/reference_regression/tidb,project/tests/reference_regression/tidb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/tidb,project/tests/reference_regression/tidb,,,verified_present,project/tests/reference_regression/tidb,source_locator_verified_manifest_generated
tikv,TiKV,compatibility-parser-tikv,public_regression_manifest,project/tests/reference_regression/tikv,project/tests/reference_regression/tikv,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/tikv,project/tests/reference_regression/tikv,,,verified_present,project/tests/reference_regression/tikv,source_locator_verified_manifest_generated
vitess,Vitess,compatibility-parser-vitess,public_regression_manifest,project/tests/reference_regression/vitess,project/tests/reference_regression/vitess,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/vitess,project/tests/reference_regression/vitess,,,verified_present,project/tests/reference_regression/vitess,source_locator_verified_manifest_generated
xtdb,XTDB,compatibility-parser-xtdb,public_regression_manifest,project/tests/reference_regression/xtdb,project/tests/reference_regression/xtdb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/xtdb,project/tests/reference_regression/xtdb,,,verified_present,project/tests/reference_regression/xtdb,source_locator_verified_manifest_generated
yugabytedb,YugabyteDB,compatibility-parser-yugabytedb,public_regression_manifest,project/tests/reference_regression/yugabytedb,project/tests/reference_regression/yugabytedb,,see third-party project release source,see upstream project regression suite,project/tests/reference_regression/yugabytedb,project/tests/reference_regression/yugabytedb,,,verified_present,project/tests/reference_regression/yugabytedb,source_locator_verified_manifest_generated
