family_id,profile_class,udr_package,bridge_mode,admission_policy,allowed_runtime_effects,transaction_authority,security_authority,forbidden_authorities,diagnostic_set,conformance_gate
firebird,compatibility_emulation,project/src/udr/packages/compatibility/firebird,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.FIREBIRD.UDR_BRIDGE_UNAVAILABLE;REFERENCE.FIREBIRD.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
postgresql,compatibility_emulation,project/src/udr/packages/compatibility/postgresql,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.POSTGRESQL.UDR_BRIDGE_UNAVAILABLE;REFERENCE.POSTGRESQL.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
mysql,compatibility_emulation,project/src/udr/packages/compatibility/mysql,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.MYSQL.UDR_BRIDGE_UNAVAILABLE;REFERENCE.MYSQL.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
mariadb,compatibility_emulation,project/src/udr/packages/compatibility/mariadb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.MARIADB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.MARIADB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
sqlite,compatibility_emulation,project/src/udr/packages/compatibility/sqlite,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.SQLITE.UDR_BRIDGE_UNAVAILABLE;REFERENCE.SQLITE.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
duckdb,compatibility_emulation,project/src/udr/packages/compatibility/duckdb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.DUCKDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.DUCKDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
clickhouse,compatibility_emulation,project/src/udr/packages/compatibility/clickhouse,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.CLICKHOUSE.UDR_BRIDGE_UNAVAILABLE;REFERENCE.CLICKHOUSE.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
cassandra,compatibility_emulation,project/src/udr/packages/compatibility/cassandra,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.CASSANDRA.UDR_BRIDGE_UNAVAILABLE;REFERENCE.CASSANDRA.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
mongodb,compatibility_emulation,project/src/udr/packages/compatibility/mongodb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.MONGODB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.MONGODB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
redis,compatibility_emulation,project/src/udr/packages/compatibility/redis,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.REDIS.UDR_BRIDGE_UNAVAILABLE;REFERENCE.REDIS.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
