normalized_command,family,authority,required_provider_api,sblr_requirement,message_vector_policy,provider_route_or_refusal_policy,downstream_workplans_phases,sblr_requirement_classification,cross_node_distributed_query_marker
cluster.topology.inspect,cluster_topology,cluster_catalog_authority,cluster.inspect_state,sblr.cluster.report.v3:cluster.topology.inspect,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.inspect_state;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.topology.define_region,cluster_topology,cluster_decision_service,cluster.control_topology,sblr.cluster.control.v3:cluster.topology.define_region,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.control_topology;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.topology.define_shard_profile,cluster_topology,placement_authority,cluster.control_topology,sblr.cluster.control.v3:cluster.topology.define_shard_profile,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.control_topology;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.topology.publish_manifest,cluster_topology,cluster_decision_service,cluster.publish_topology_manifest,sblr.cluster.control.v3:cluster.topology.publish_manifest,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.publish_topology_manifest;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.topology.validate_schema_version,cluster_topology,cluster_catalog_authority,cluster.validate_topology_schema,sblr.cluster.control.v3:cluster.topology.validate_schema_version,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.validate_topology_schema;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.topology.inspect_filespace_shards,cluster_topology,cluster_catalog_authority,cluster.inspect_state,sblr.cluster.report.v3:cluster.topology.inspect_filespace_shards,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.inspect_state;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.node.admit_member,cluster_node_lifecycle,cluster_membership_authority,cluster.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.admit_member;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.node.remove_member,cluster_node_lifecycle,cluster_membership_authority,cluster.remove_member,sblr.cluster.control.v3:cluster.node.remove_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.remove_member;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.node.drain_member,cluster_node_lifecycle,cluster_membership_authority,cluster.drain_member,sblr.cluster.control.v3:cluster.node.drain_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.drain_member;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
cluster.node.set_role,cluster_node_lifecycle,cluster_role_authority,cluster.set_node_role,sblr.cluster.control.v3:cluster.node.set_role,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution,provider_routed;compatibility_alias=cluster.set_node_role;disabled_returns_functionality_unsupported;public_stub_returns_functionality_unlicensed;private_provider_required_for_execution,FSE-P0;FSE-P5;FPR-P2;FSL-P2;FSL-P5,existing_sblr,not_cluster_query
