normalized_command,stub_api_symbol,implementation_status,private_provider_boundary,test_destination
cluster.topology.inspect,cluster.inspect_state,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.topology.define_region,cluster.control_topology,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.topology.define_shard_profile,cluster.control_topology,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.topology.publish_manifest,cluster.publish_topology_manifest,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.topology.validate_schema_version,cluster.validate_topology_schema,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.topology.inspect_filespace_shards,cluster.inspect_state,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.admit_member,cluster.admit_member,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.remove_member,cluster.remove_member,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.drain_member,cluster.drain_member,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.set_role,cluster.set_node_role,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.inspect_health,cluster.inspect_state,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.node.validate_role_suitability,cluster.validate_node_role,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.route.publish_owner,cluster.publish_route,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.route.reject_stale_owner,cluster.reject_stale_owner,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.route.inspect_plan,cluster.inspect_routing_plan,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.placement.place_object,cluster.place_object,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.placement.rebalance_shards,cluster.rebalance_shards,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.placement.validate_partition_distribution,cluster.validate_partition_distribution,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.placement.assign_tablet_range,cluster.assign_tablet_range,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.begin_distributed,cluster.begin_distributed_transaction,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.prepare_remote_participant,cluster.prepare_remote_participant_insert,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.publish_commit_barrier,cluster.publish_commit_barrier,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.publish_rollback_barrier,cluster.publish_rollback_barrier,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.recover_limbo_participant,cluster.recover_limbo_participant,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.advance_cleanup_low_water,cluster.advance_cleanup_low_water,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.tx.validate_finality_proof,cluster.validate_finality_proof,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.replication.consume_cluster_event,cluster.inspect_replication,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.reconcile.branch_ledger,cluster.reconcile_branch_ledger,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.reconcile.apply_merge_policy,cluster.apply_merge_policy,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.reconcile.report_conflict,cluster.report_reconciliation_conflict,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.reconcile.classify_non_mergeable,cluster.classify_non_mergeable_data,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.reconcile.publish_client_finality,cluster.publish_reconciled_finality,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.validate_epoch,cluster.validate_epoch,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.issue_fence_token,cluster.issue_fence_token,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.revoke_fence_token,cluster.revoke_fence_token,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.validate_policy_version,cluster.validate_policy_version,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.admit_provider_handshake,cluster.validate_provider_handshake,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.refuse_local_cluster_mutation,exact_refusal_no_provider_call,exact_pre_provider_refusal_no_provider_call,no_provider_call_allowed_before_admission,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.security.validate_route_authority,cluster.validate_insert_route_fence,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.job.start_controlled,cluster.start_job,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.job.cancel_controlled,cluster.cancel_job,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.job.throttle_workload,cluster.throttle_workload,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.admin.inspect_status,cluster.inspect_state,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.admin.run_maintenance,cluster.run_maintenance,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.admin.refuse_reference_shell_control,exact_refusal_no_provider_call,exact_pre_provider_refusal_no_provider_call,no_provider_call_allowed_before_admission,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
