remap_id,compatibility,compatibility_cluster_command,compatibility_surface,normalized_command,normalized_cluster_sblr,sblr_route,source_search_key,compatibility_isolation,downstream_phase,cross_node_distributed_query_marker,provider_api_boundary,cluster_provider_boundary_status,disabled_behavior,enabled_stub_behavior,private_provider_behavior,refusal_policy,route_status,sblr_proof_id,cluster_proof_gate,local_query_authority_policy,parser_authority_policy,compatibility_authority_policy,test_destination,proof_gate,status,notes
FPR-P2-CLUSTER-00001,apache_ignite,apache_ignite.admin.control_script,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,own_compatibility_surface_only,FPR-P2,not_cluster_query,exact_refusal_no_provider_call,exact_pre_provider_refusal_excluded_from_cluster_provider_route,exact_pre_provider_refusal_no_provider_call;fail_closed_before_cluster_compile_policy,exact_pre_provider_refusal_no_public_stub_provider_call;no_cluster_authority_or_production_behavior,exact_pre_provider_refusal_no_private_provider_call;no_private_cluster_implementation_detail,exact_pre_provider_refusal_no_provider_call,exact_pre_provider_refusal_no_provider_route,FSE-P7-PROOF-00002,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00002,apache_ignite,apache_ignite.admin.baseline,apache_ignite.admin.baseline,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.baseline,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00003,apache_ignite,apache_ignite.admin.set_state,apache_ignite.admin.set_state,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.set_state,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00004,apache_ignite,apache_ignite.admin.activate,apache_ignite.admin.activate,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.activate,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00005,apache_ignite,apache_ignite.admin.deactivate,apache_ignite.admin.deactivate,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.deactivate,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00006,apache_ignite,apache_ignite.admin.snapshot,apache_ignite.admin.snapshot,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.snapshot,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00007,apache_ignite,builtin_function_surface:cluster,builtin_function_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00008,clickhouse,clickhouse.distributed.cluster_clause,clickhouse.distributed.cluster_clause,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.distributed.cluster_clause,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query,cluster.query.plan_distributed,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.query.plan_distributed;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00027,sblr_surface_fse_p7_execution_proof_gate,cluster_query_requires_provider_boundary;query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00009,clickhouse,builtin_function_surface:cluster,builtin_function_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kBuiltinSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
FPR-P2-CLUSTER-00010,clickhouse,catalog_overlay_surface:clusters,catalog_overlay_surface:clusters,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kCatalogSurfaces:clusters,own_compatibility_surface_only,FPR-P2,not_cluster_query,cluster.start_job,provider_routed_public_boundary_manifested,functionality_unsupported;kClusterSupportNotEnabledCode;unsupported_feature=cluster.provider;no_provider_call;fail_closed,functionality_unlicensed;kClusterHandshakeStubCompileLinkOnlyCode;unsupported_feature=cluster.provider.stub;public_compile_link_boundary_only;no_cluster_authority_or_production_behavior,private_internal_provider_required;provider_api_boundary=cluster.start_job;no_private_source_or_implementation_detail,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,provider_boundary_route_required,FSE-P7-PROOF-00005,sblr_surface_fse_p7_execution_proof_gate,query.plan_operation_never_cluster_authority;local_query_sblr_remains_local_engine_authority,parser_emits_normalized_cluster_sblr_only;parser_execution_storage_finality_authority_forbidden,compatibility_cluster_execution_storage_transaction_finality_authority_forbidden,project/tests/compatibility_sql_parser_first_tranche/parser_remap_cluster_route_gate.py,parser_remap_cluster_route_gate,p2_cluster_route_remap_verified,row-level compatibility cluster surface remap preserves provider boundary compile policy and compatibility parser isolation;private provider implementation detail is not recorded
