remap_id,compatibility,parser_surface,compatibility_surface,classification,source_search_key,current_scratchbird_status,final_sblr,sblr_proof_id,route_status,executable_status,refusal_policy,parser_source_guard,test_destination,proof_gate,status,notes
FPR-P1-NONCLUSTER-00001,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.create,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.create,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_create.5b1450b6b6,FSE-P7-PROOF-00888,mapped_to_engine_owned_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00002,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.drop,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.drop,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_drop.bf35848f72,FSE-P7-PROOF-00889,mapped_to_engine_owned_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00003,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.get,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.get,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_get.09b8feba70,FSE-P7-PROOF-00890,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00004,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.put,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.put,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_put.ded854b92b,FSE-P7-PROOF-00891,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00005,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.remove,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.remove,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_remove.d01bc1077d,FSE-P7-PROOF-00892,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00006,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.scan,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.scan,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_scan.532a2696ac,FSE-P7-PROOF-00893,mapped_to_engine_owned_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00007,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.cache.continuous_query,IMPLEMENT_NONCLUSTER,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.continuous_query,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_cache_continuous_query.88d6fd73b3,FSE-P7-PROOF-00887,mapped_to_engine_owned_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00008,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.ddl.create_table,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.create_table,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_ddl_create_table.c9d41d79e5,FSE-P7-PROOF-00897,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00009,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.ddl.create_index,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.create_index,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_ddl_create_index.0cb6f633b9,FSE-P7-PROOF-00896,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00010,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.ddl.drop_table,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.drop_table,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_ddl_drop_table.59316a6a61,FSE-P7-PROOF-00899,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00011,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.ddl.drop_index,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.drop_index,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_ddl_drop_index.18f705d644,FSE-P7-PROOF-00898,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00012,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.ddl.alter_table,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.alter_table,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_ddl_alter_table.fc026bd291,FSE-P7-PROOF-00895,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
FPR-P1-NONCLUSTER-00013,apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.dml.merge,PARSER_REMAP_ONLY,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.dml.merge,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,sblr.noncluster.compatibility_specific_noncluster_control.apache_ignite.apache_ignite_dml_merge.4dfe010bfd,FSE-P7-PROOF-00902,mapped_to_parser_remap_sblr_execution_proof,executable_sblr_proof_available,not_refusal;parser_emits_sblr_only;compatibility_execution_storage_transaction_finality_forbidden,parser_declared_surface_match,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,parser_remap_noncluster_function_gate,p1_noncluster_remap_verified,row maps to FSE-P7 execution proof;engine owns execution and MGA finality where applicable;parser and compatibility authority remain forbidden for execution storage and transaction finality
