normalized_command,family,authority,required_provider_api,sblr_requirement,message_vector_policy
cluster.topology.inspect,cluster_topology,cluster_catalog_authority,cluster.inspect_state,sblr.cluster.report.v3:cluster.topology.inspect,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.topology.define_region,cluster_topology,cluster_decision_service,cluster.control_topology,sblr.cluster.control.v3:cluster.topology.define_region,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.topology.define_shard_profile,cluster_topology,placement_authority,cluster.control_topology,sblr.cluster.control.v3:cluster.topology.define_shard_profile,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.topology.publish_manifest,cluster_topology,cluster_decision_service,cluster.publish_topology_manifest,sblr.cluster.control.v3:cluster.topology.publish_manifest,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.topology.validate_schema_version,cluster_topology,cluster_catalog_authority,cluster.validate_topology_schema,sblr.cluster.control.v3:cluster.topology.validate_schema_version,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.topology.inspect_filespace_shards,cluster_topology,cluster_catalog_authority,cluster.inspect_state,sblr.cluster.report.v3:cluster.topology.inspect_filespace_shards,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.admit_member,cluster_node_lifecycle,cluster_membership_authority,cluster.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.remove_member,cluster_node_lifecycle,cluster_membership_authority,cluster.remove_member,sblr.cluster.control.v3:cluster.node.remove_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.drain_member,cluster_node_lifecycle,cluster_membership_authority,cluster.drain_member,sblr.cluster.control.v3:cluster.node.drain_member,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.set_role,cluster_node_lifecycle,cluster_role_authority,cluster.set_node_role,sblr.cluster.control.v3:cluster.node.set_role,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.inspect_health,cluster_node_lifecycle,metrics_observability,cluster.inspect_state,sblr.cluster.report.v3:cluster.node.inspect_health,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.node.validate_role_suitability,cluster_node_lifecycle,cluster_role_authority,cluster.validate_node_role,sblr.cluster.control.v3:cluster.node.validate_role_suitability,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.route.publish_owner,cluster_routing_and_placement,route_authority_service,cluster.publish_route,sblr.cluster.control.v3:cluster.route.publish_owner,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
