parser_package,declared_surface,current_route,search_key,classification,downstream_owner
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.control_script,kPolicyRefusal;match=CONTROL.SH;mapping=apache_ignite.policy.cluster.control_script;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.baseline,kPolicyRefusal;match=BASELINE;mapping=apache_ignite.policy.cluster.baseline;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.baseline,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.set_state,kPolicyRefusal;match=SET STATE;mapping=apache_ignite.policy.cluster.set_state;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.set_state,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.activate,kPolicyRefusal;match=ACTIVATE;mapping=apache_ignite.policy.cluster.activate;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.activate,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.deactivate,kPolicyRefusal;match=DEACTIVATE;mapping=apache_ignite.policy.cluster.deactivate;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.deactivate,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.admin.snapshot,kPolicyRefusal;match=SNAPSHOT;mapping=apache_ignite.policy.cluster.snapshot;sblr=none;engine_api=none;diagnostic=APACHE_IGNITE.AUTHORITY.CLUSTER_CONTROL_RESERVED,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.snapshot,NORMALIZE_CLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.create,kParserSupportUdr;match=CREATE CACHE;mapping=apache_ignite.udr.cache.create;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_ROUTE;engine_api=ParserSupportCacheRoute;diagnostic=APACHE_IGNITE.EMULATION.CACHE_ROUTE,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.create,IMPLEMENT_NONCLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.drop,kParserSupportUdr;match=DROP CACHE;mapping=apache_ignite.udr.cache.drop;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_ROUTE;engine_api=ParserSupportCacheRoute;diagnostic=APACHE_IGNITE.EMULATION.CACHE_ROUTE,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.drop,IMPLEMENT_NONCLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.get,kAdmittedSblr;match=CACHE GET;mapping=apache_ignite.cache.get;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_GET;engine_api=EngineCacheGet;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.get,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.put,kAdmittedSblr;match=CACHE PUT;mapping=apache_ignite.cache.put;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_PUT;engine_api=EngineCachePut;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.put,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.remove,kAdmittedSblr;match=CACHE REMOVE;mapping=apache_ignite.cache.remove;sblr=SBLR_COMPAT_APACHE_IGNITE_CACHE_REMOVE;engine_api=EngineCacheRemove;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.remove,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.scan,kParserSupportUdr;match=SCAN;mapping=apache_ignite.udr.cache.scan;sblr=SBLR_COMPAT_APACHE_IGNITE_SCAN_ROUTE;engine_api=ParserSupportScanRoute;diagnostic=APACHE_IGNITE.EMULATION.SCAN_ROUTE,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.scan,IMPLEMENT_NONCLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.cache.continuous_query,kParserSupportUdr;match=CONTINUOUS QUERY;mapping=apache_ignite.udr.continuous_query;sblr=SBLR_COMPAT_APACHE_IGNITE_CONTINUOUS_QUERY_ROUTE;engine_api=ParserSupportContinuousQueryRoute;diagnostic=APACHE_IGNITE.EMULATION.CONTINUOUS_QUERY_ROUTE,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.cache.continuous_query,IMPLEMENT_NONCLUSTER,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.ddl.create_table,kAdmittedSblr;match=CREATE TABLE;mapping=apache_ignite.ddl.create_table;sblr=SBLR_COMPAT_APACHE_IGNITE_DDL_ROUTE;engine_api=EngineDdlCreate;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.create_table,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.ddl.create_index,kAdmittedSblr;match=CREATE INDEX;mapping=apache_ignite.ddl.create_index;sblr=SBLR_COMPAT_APACHE_IGNITE_DDL_ROUTE;engine_api=EngineDdlCreate;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.create_index,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.ddl.drop_table,kAdmittedSblr;match=DROP TABLE;mapping=apache_ignite.ddl.drop_table;sblr=SBLR_COMPAT_APACHE_IGNITE_DDL_ROUTE;engine_api=EngineDdlDrop;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.drop_table,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.ddl.drop_index,kAdmittedSblr;match=DROP INDEX;mapping=apache_ignite.ddl.drop_index;sblr=SBLR_COMPAT_APACHE_IGNITE_DDL_ROUTE;engine_api=EngineDdlDrop;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.drop_index,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.ddl.alter_table,kAdmittedSblr;match=ALTER TABLE;mapping=apache_ignite.ddl.alter_table;sblr=SBLR_COMPAT_APACHE_IGNITE_DDL_ROUTE;engine_api=EngineDdlAlter;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.ddl.alter_table,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.dml.merge,kAdmittedSblr;match=MERGE;mapping=apache_ignite.dml.merge;sblr=SBLR_COMPAT_APACHE_IGNITE_MERGE;engine_api=EngineDmlMerge;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.dml.merge,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.dml.insert,kAdmittedSblr;match=INSERT;mapping=apache_ignite.dml.insert;sblr=SBLR_COMPAT_APACHE_IGNITE_INSERT;engine_api=EngineDmlInsert;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.dml.insert,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.dml.update,kAdmittedSblr;match=UPDATE;mapping=apache_ignite.dml.update;sblr=SBLR_COMPAT_APACHE_IGNITE_UPDATE;engine_api=EngineDmlUpdate;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.dml.update,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.dml.delete,kAdmittedSblr;match=DELETE;mapping=apache_ignite.dml.delete;sblr=SBLR_COMPAT_APACHE_IGNITE_DELETE;engine_api=EngineDmlDelete;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.dml.delete,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.query.select,kAdmittedSblr;match=SELECT;mapping=apache_ignite.query.select;sblr=SBLR_COMPAT_APACHE_IGNITE_SELECT;engine_api=EngineQuerySelect;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.query.select,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.query.with,kAdmittedSblr;match=WITH;mapping=apache_ignite.query.with;sblr=SBLR_COMPAT_APACHE_IGNITE_SELECT;engine_api=EngineQuerySelect;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.query.with,PARSER_REMAP_ONLY,parser remap lead
project/src/parsers/compatibility/apache_ignite,apache_ignite.optimizer.explain,kCatalogProjection;match=EXPLAIN;mapping=apache_ignite.optimizer.explain;sblr=SBLR_COMPAT_APACHE_IGNITE_EXPLAIN;engine_api=EngineExplainPlan;diagnostic=none,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.optimizer.explain,PARSER_REMAP_ONLY,parser remap lead
