audit_id,audit_type,compatibility,parser_package,parser_support_udr,cross_dialect_probe,result,reviewer,source_anchor,runtime_evidence,ctest_dependency,authority_policy,status,notes
FPR-P7-PARSER-SOURCE-001,parser_source_independent_review,firebird,project/src/parsers/compatibility/firebird,project/src/udr/sbu_firebird_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage,source_mapping_storage_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned mapping storage parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-002,parser_source_independent_review,postgresql,project/src/parsers/compatibility/postgresql,project/src/udr/sbu_postgresql_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-003,parser_source_independent_review,mysql,project/src/parsers/compatibility/mysql,project/src/udr/sbu_mysql_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-004,parser_source_independent_review,sqlite,project/src/parsers/compatibility/sqlite,project/src/udr/sbu_sqlite_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-005,parser_source_independent_review,mariadb,project/src/parsers/compatibility/mariadb,project/src/udr/sbu_mariadb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-006,parser_source_independent_review,duckdb,project/src/parsers/compatibility/duckdb,project/src/udr/sbu_duckdb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-007,parser_source_independent_review,clickhouse,project/src/parsers/compatibility/clickhouse,project/src/udr/sbu_clickhouse_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-008,parser_source_independent_review,tidb,project/src/parsers/compatibility/tidb,project/src/udr/sbu_tidb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/tidb/tidb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-009,parser_source_independent_review,vitess,project/src/parsers/compatibility/vitess,project/src/udr/sbu_vitess_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/vitess/vitess_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-010,parser_source_independent_review,cockroachdb,project/src/parsers/compatibility/cockroachdb,project/src/udr/sbu_cockroachdb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
