scope_id,scope_category,subject_id,manifest_profile_class,expected_count,observed_count,implementation_package_path,parser_support_udr_path,compatibility_policy,upstream_artifact,readiness_gate,status,evidence
FPR-P0-SCOPE-0001,manifest_profile,firebird,compatibility_emulation,1,1,project/src/parsers/compatibility/firebird,project/src/udr/sbu_firebird_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0002,manifest_profile,postgresql,compatibility_emulation,1,1,project/src/parsers/compatibility/postgresql,project/src/udr/sbu_postgresql_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0003,manifest_profile,mysql,compatibility_emulation,1,1,project/src/parsers/compatibility/mysql,project/src/udr/sbu_mysql_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0004,manifest_profile,mariadb,compatibility_emulation,1,1,project/src/parsers/compatibility/mariadb,project/src/udr/sbu_mariadb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0005,manifest_profile,mysql_lts,release_profile_variant,1,1,project/src/parsers/compatibility/mysql,project/src/udr/sbu_mysql_parser_support,mysql_lts_profile_alias_to_mysql_parser_package_and_udr_policy,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0006,manifest_profile,sqlite,compatibility_emulation,1,1,project/src/parsers/compatibility/sqlite,project/src/udr/sbu_sqlite_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0007,manifest_profile,duckdb,compatibility_emulation,1,1,project/src/parsers/compatibility/duckdb,project/src/udr/sbu_duckdb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0008,manifest_profile,clickhouse,compatibility_emulation,1,1,project/src/parsers/compatibility/clickhouse,project/src/udr/sbu_clickhouse_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0009,manifest_profile,cassandra,compatibility_emulation,1,1,project/src/parsers/compatibility/cassandra,project/src/udr/sbu_cassandra_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0010,manifest_profile,mongodb,compatibility_emulation,1,1,project/src/parsers/compatibility/mongodb,project/src/udr/sbu_mongodb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0011,manifest_profile,redis,compatibility_emulation,1,1,project/src/parsers/compatibility/redis,project/src/udr/sbu_redis_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0012,manifest_profile,neo4j,compatibility_emulation,1,1,project/src/parsers/compatibility/neo4j,project/src/udr/sbu_neo4j_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0013,manifest_profile,opensearch,compatibility_emulation,1,1,project/src/parsers/compatibility/opensearch,project/src/udr/sbu_opensearch_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0014,manifest_profile,influxdb,compatibility_emulation,1,1,project/src/parsers/compatibility/influxdb,project/src/udr/sbu_influxdb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0015,manifest_profile,milvus,compatibility_emulation,1,1,project/src/parsers/compatibility/milvus,project/src/udr/sbu_milvus_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0016,manifest_profile,cockroachdb,compatibility_emulation,1,1,project/src/parsers/compatibility/cockroachdb,project/src/udr/sbu_cockroachdb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0017,manifest_profile,tidb,compatibility_emulation,1,1,project/src/parsers/compatibility/tidb,project/src/udr/sbu_tidb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0018,manifest_profile,tikv,compatibility_emulation,1,1,project/src/parsers/compatibility/tikv,project/src/udr/sbu_tikv_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
FPR-P0-SCOPE-0019,manifest_profile,yugabytedb,compatibility_emulation,1,1,project/src/parsers/compatibility/yugabytedb,project/src/udr/sbu_yugabytedb_parser_support,standalone_compatibility_profile_implementation_package,project/src/parsers/compatibility/CompatibilityCompatibilityProfileManifest.csv,parser_remap_input_readiness_gate,readiness_verified,manifest profile row reconciled
